,Item,Domain,Cat,StandDiam,MnDiam,knd1,knd2,sz1,sz2
1,baseball,Artifact,Ball,2.9,2.9,-0.0715085050323335,0.103555191794432,0.120036989884399,0.0559328741620768
2,basketball,Artifact,Ball,9.55,9.55,-0.284985771544176,-0.0150832161597532,0.595614051141429,-0.043278440478625
3,beach_ball,Artifact,Ball,NA,16,-0.250729860119049,0.00582587338584766,0.579407916100835,0.0611620824520102
4,billiard_ball,Artifact,Ball,2.44,2.44,-0.117420420287236,0.094921158310764,-0.0197446657980507,-0.0894938802471898
5,blueberry,Plant,FV,NA,0.41,0.310791601435595,0.00173708764977487,-0.472100549578166,-0.122360902040711
6,bowling_ball,Artifact,Ball,8.59,8.59,-0.296139992185302,-0.0328267832046965,0.541269603033103,0.152504124295528
7,brussel_sprout,Plant,FV,NA,1.1,0.370505770764534,0.030271812768572,-0.540467365798712,0.164318442640902
8,cantaloupe,Plant,FV,NA,5,0.06399523714948,-0.150656297516528,0.452828722828474,-0.063889638661609
9,cherry,Plant,FV,NA,1,0.185487966901475,0.0116219808647207,-0.574873492246379,-0.123374576490301
10,clementine,Plant,FV,NA,3,0.104476832722545,-0.0214206779106805,-0.200884562291121,0.0919687116984974
11,crab_apple,Plant,FV,NA,2,0.130450100900333,-0.00427656508636374,-0.0788363534496976,0.0016179775054425
12,croquet_ball,Artifact,Ball,3.63,3.63,-0.128612233299044,-0.00904078233044379,0.0141655315869752,-0.0836890049959288
13,globe,Artifact,Ball,NA,16,-0.239863432095286,-0.0232923252700594,0.75772310586087,0.112773942869918
14,golfball,Artifact,Ball,1.68,1.68,-0.0180557030126411,0.115481389459325,-0.353643775948275,-0.0896004405842037
15,Granny_Smith_apple,Plant,FV,NA,2.4,0.0588707070540579,-0.0301361199048417,-0.0179970906967264,0.209837062664645
16,grape,Plant,FV,NA,0.55,0.233145664296823,-0.0206654675859932,-0.508638766412753,-0.0602648965747817
17,grapefruit,Plant,FV,NA,5,0.0830120804263644,-0.112601286323454,0.179575041140752,0.216764742071414
18,hockey_ball,Artifact,Ball,2.75,2.75,-0.199478088916569,0.0829676341771875,-0.0554305623896005,-0.153115419969991
19,kiwi,Plant,FV,NA,2.25,0.157661741331758,-0.0303889334631299,-0.251654591768642,0.210627596059576
20,lemon,Plant,FV,NA,2,0.15010511421538,-0.0536458869050471,-0.167253537771612,0.139357603891808
21,lime,Plant,FV,NA,1.5,0.166009580976773,-0.0698239007989292,-0.200031369291294,0.123986144131634
22,MacIntosh_apple,Plant,FV,NA,2.4,0.060896641002459,0.0354745538593045,0.0390089832900353,0.186308435154614
23,marble,Artifact,Ball,0.75,0.75,-0.000821980829334438,0.165467422886944,-0.599188309873936,-0.178796979381228
24,medicine_ball,Artifact,Ball,13.7,13.7,-0.19545776075677,-0.0415788526874518,0.441108067518729,-0.292139528113352
25,nectarine,Plant,FV,NA,2.5,0.130231294281994,-0.0222647217571679,-0.078918311945965,0.0361117004398887
26,olive,Plant,FV,NA,0.75,0.240585903816961,0.058487409206163,-0.585392223503324,-0.184235450123514
27,onion,Plant,FV,NA,6.65,0.164655585303669,0.0587097864768313,-0.0356374876166167,0.19367725173887
28,orange,Plant,FV,NA,3.1,0.0610495745052912,-0.046494037428833,0.00345980894731317,0.152381720749954
29,pea,Plant,FV,NA,0.31,0.249776426919433,0.0330344215983115,-0.781817300878823,0.191089690221769
30,peach,Plant,FV,NA,2.3,0.135571162513351,-0.0540033835472523,-0.0465516038657662,0.201829286297393
31,pingpong_ball,Artifact,Ball,1.57,1.57,0.0875539208872293,0.166048283987959,-0.321036693486562,-0.258423656345384
32,plum,Plant,FV,NA,1.8,0.129976079333726,-0.0450496386900668,-0.153223344942885,0.130338219417834
33,pumpkin,Plant,FV,NA,19.3,-0.129620154912069,-0.214818714603704,0.663915582404457,-0.186111250874569
34,radish,Plant,FV,NA,2.4,0.150456588943045,-0.00825942208490664,-0.374764806432673,0.157627204577375
35,rubber_ball,Artifact,Ball,NA,1.375,-0.120495373506239,0.0474055401032009,0.0204136214849805,-0.170605934180973
36,soccer_ball,Artifact,Ball,8.65,8.65,-0.29145614005973,-0.0323430664754262,0.5454593486513,-0.162389692825745
37,softball,Artifact,Ball,3.66,3.66,-0.113977734198006,0.0873583956153493,0.00845956640316014,0.0416411690989363
38,squash_ball,Artifact,Ball,1.57,1.57,-0.0679600740823546,-0.0185683005130536,0.132804098513304,-0.0656531367078845
39,super_ball,Artifact,Ball,NA,1.75,-0.20394865210722,0.0390501000860865,0.0110554678873602,-0.375297376130718
40,tennis_ball,Artifact,Ball,2.7,2.7,-0.0425795865171392,0.0895935578496327,-0.0558309836417544,-0.012214642819047
41,tomato,Plant,FV,NA,6.36,0.132801694031722,-0.00468210009903842,-0.0714485294896734,0.123160272266485
42,volleyball,Artifact,Ball,8.25,8.25,-0.232467159391468,-0.0290337484366233,0.541877440663078,-0.115307351813903
43,walnut,Plant,FV,NA,1.25,0.214672286064471,0.0918377993342743,-0.419432880709227,-0.143190309191294
44,watermelon,Plant,FV,NA,12.8,0.0449233684392453,-0.230017460821444,0.578123912168874,-0.0763834878885359
45,wiffle_ball,Artifact,Ball,2.9,2.9,-0.102037729854412,0.0796927865483338,0.0568994490054361,-0.0917624208960084
46,yoga_ball,Artifact,Ball,NA,25.6,-0.297216639022471,-0.00603308408802707,0.638513438394466,0.276592434200932
